['00:11:35', '20.04 C', '68.07 F', '55.83 %', '995.205577 hPa', '207.19 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:35', '20.04 C', '68.07 F', '55.81 %', '995.187336 hPa', '207.22 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:36', '20.04 C', '68.07 F', '55.64 %', '995.148033 hPa', '207.68 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:37', '20.04 C', '68.07 F', '55.53 %', '995.127527 hPa', '207.66 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:39', '20.04 C', '68.07 F', '55.59 %', '995.168539 hPa', '207.53 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:40', '20.04 C', '68.07 F', '55.61 %', '995.117663 hPa', '207.42 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:41', '20.04 C', '68.07 F', '55.62 %', '995.125819 hPa', '207.59 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:42', '20.04 C', '68.07 F', '55.56 %', '995.154869 hPa', '207.33 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:43', '20.04 C', '68.07 F', '55.53 %', '995.143034 hPa', '207.12 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:44', '20.04 C', '68.07 F', '55.58 %', '995.180501 hPa', '207.68 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:45', '20.04 C', '68.07 F', '55.74 %', '995.148033 hPa', '207.56 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:46', '20.04 C', '68.07 F', '55.58 %', '995.156577 hPa', '207.79 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:48', '20.04 C', '68.07 F', '55.63 %', '995.134490 hPa', '207.65 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:49', '20.04 C', '68.07 F', '55.63 %', '995.146451 hPa', '207.49 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:50', '20.04 C', '68.07 F', '55.43 %', '995.137780 hPa', '207.69 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:51', '20.04 C', '68.07 F', '55.66 %', '995.139616 hPa', '207.52 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:52', '20.04 C', '68.07 F', '55.59 %', '995.130945 hPa', '207.59 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:53', '20.04 C', '68.07 F', '55.69 %', '995.163540 hPa', '207.75 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:54', '20.04 C', '68.07 F', '55.54 %', '995.148033 hPa', '207.55 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:55', '20.04 C', '68.07 F', '55.73 %', '995.129363 hPa', '207.54 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:57', '20.04 C', '68.07 F', '55.71 %', '995.129625 hPa', '207.80 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:58', '20.04 C', '68.07 F', '55.52 %', '995.122790 hPa', '207.79 meters', '10.81 dew-C', '51.46 dew-F']
